id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
1108,Fire Emblem: Path of Radiance,"Apr 20, 2005",4.2,494209.0,8.41,2005,new,Amazing
1109,Kingdom Hearts Final Mix,"Dec 26, 2002",3.8,183184.0,13.69,2002,new,Great
1110,Professor Layton and the Curious Village,"Feb 15, 2007",3.7,192721.0,17.64,2007,new,Great
1111,Ys VIII: Lacrimosa of Dana,"Jul 21, 2016",4.2,384400.0,3.61,2016,new,Amazing
1112,Hotel Dusk: Room 215,"Jan 22, 2007",4.0,192721.0,2.56,2007,new,Great
1113,Postal 2,"Apr 13, 2003",3.4,114244.0,11.56,2003,new,Great
1114,Fez,"Apr 13, 2012",3.6,243049.0,19.36,2012,new,Great
1115,Marvel's Midnight Suns,"Dec 02, 2022",3.9,29584.0,78400.0,2022,new,Great
1116,Streets of Rage 4,"Apr 30, 2020",3.9,384400.0,8.41,2020,new,Great
1117,Shin Megami Tensei: Persona,"Oct 22, 2009",2.9,173056.0,6.25,2009,new,Good
1118,Kirby's Return to Dream Land,"Oct 24, 2011",4.0,259081.0,16.81,2011,new,Great
1119,BioShock 2 Remastered,"Sep 14, 2016",3.7,87025.0,5.76,2016,new,Great
1120,God of War: Chains of Olympus,"Mar 04, 2008",3.2,156816.0,16.0,2008,new,Great
1121,Splatoon,"May 28, 2015",3.7,259081.0,37.21,2015,new,Great
1122,Nickelodeon All-Star Brawl,"Oct 05, 2021",2.5,63001.0,3.61,2021,new,Good
1123,The Great Ace Attorney: Adventures,"Jul 09, 2015",4.1,148225.0,2.56,2015,new,Amazing
1124,Sonic Rush,"Nov 15, 2005",3.6,287296.0,21.16,2005,new,Great
1126,Street Fighter V,"Feb 15, 2016",3.0,142129.0,25.0,2016,new,Good
1127,Somerville,"Nov 15, 2022",2.8,28561.0,195364.0,2022,new,Good
1128,Bully: Scholarship Edition,"Feb 04, 2008",4.0,108900.0,15.21,2008,new,Great
1129,Borderlands: The Pre-Sequel,"Oct 14, 2014",2.9,140625.0,28.09,2014,new,Good
1130,Star Wars Jedi: Survivor,"Apr 28, 2023",,62500.0,169.0,2023,new,
1131,Alice: Madness Returns,"Jun 14, 2011",3.5,128164.0,7.84,2011,new,Great
1132,Super Mario 3D All-Stars,"Sep 18, 2020",3.5,178084.0,22.09,2020,new,Great
1133,S.T.A.L.K.E.R.: Shadow of Chernobyl,"Mar 20, 2007",3.9,181476.0,6.25,2007,new,Great
1134,JoJo’s Bizarre Adventure: All-Star Battle R,"Sep 01, 2022",3.4,14884.0,633616.0,2022,new,Great
1135,Geometry Dash,"Aug 12, 2013",3.1,38809.0,26.01,2013,new,Great
1136,Mario + Rabbids Sparks of Hope,"Oct 20, 2022",3.9,64009.0,126736.0,2022,new,Great
